MES,BASURA,COD_DISTRITO,DISTRITO,TOTAL_KG_MUEBLES,MUEBLES,TOTAL_ENVASES,ENVASES,TOTAL_PAPEL_Y_CARTON,PAPEL_Y_CARTON,REPOSICION_BOLSAS_CANINAS,BOLSAS_CANINAS
JULIO,Basura,12,USERA,161.953,Mueble,35,Envase,18.36,Papel_y_Carton,288.7,Bolsas_caninas
JULIO,Basura,17,VILLAVERDE,226.733,Mueble,49,Envase,25.704,Papel_y_Carton,308.3,Bolsas_caninas
AGOSTO,Basura,1,CENTRO ,43.2,Mueble,0,Envase,9.54,Papel_y_Carton,895.1,Bolsas_caninas
AGOSTO,Basura,6,TETUÁN,129.12,Mueble,240,Envase,6.76,Papel_y_Carton,480,Bolsas_caninas
AGOSTO,Basura,7,CHAMBERÍ,67.3,Mueble,220,Envase,7.74,Papel_y_Carton,401.1,Bolsas_caninas
AGOSTO,Basura,2,ARGANZUELA,43.84,Mueble,0,Envase,3.4,Papel_y_Carton,380,Bolsas_caninas
AGOSTO,Basura,3,RETIRO,45.74,Mueble,1.14,Envase,19.56,Papel_y_Carton,360,Bolsas_caninas
AGOSTO,Basura,4,SALAMANCA,53.86,Mueble,0,Envase,1.56,Papel_y_Carton,388.4,Bolsas_caninas
AGOSTO,Basura,5,CHAMARTÍN,44.54,Mueble,0,Envase,12.5,Papel_y_Carton,409.2,Bolsas_caninas
AGOSTO,Basura,8,FUENCARRAL,136.92,Mueble,0,Envase,18.84,Papel_y_Carton,376.6,Bolsas_caninas
AGOSTO,Basura,9,MONCLOA,75.68,Mueble,1.12,Envase,9.42,Papel_y_Carton,247.3,Bolsas_caninas
AGOSTO,Basura,10,LATINA,227.02,Mueble,0,Envase,15.56,Papel_y_Carton,340,Bolsas_caninas
AGOSTO,Basura,15,CIUDAD LINEAL,106.649,Mueble,30,Envase,18.005,Papel_y_Carton,545,Bolsas_caninas
AGOSTO,Basura,16,HORTALEZA,155.53,Mueble,60,Envase,26.257,Papel_y_Carton,493.7,Bolsas_caninas
AGOSTO,Basura,20,SAN BLAS,115.536,Mueble,50,Envase,19.505,Papel_y_Carton,493.1,Bolsas_caninas
AGOSTO,Basura,21,BARAJAS,66.656,Mueble,40,Envase,11.253,Papel_y_Carton,423,Bolsas_caninas
AGOSTO,Basura,13,PUENTE DE VALLECAS ,124.826,Mueble,0,Envase,15.449,Papel_y_Carton,585.7,Bolsas_caninas
AGOSTO,Basura,18,VILLA DE VALLECAS ,48.355,Mueble,1.14,Envase,6.621,Papel_y_Carton,294.9,Bolsas_caninas
AGOSTO,Basura,14,MORATALAZ,116.944,Mueble,0,Envase,17.656,Papel_y_Carton,219.9,Bolsas_caninas
AGOSTO,Basura,19,VICÁLVARO,32.235,Mueble,0,Envase,4.414,Papel_y_Carton,257.6,Bolsas_caninas
AGOSTO,Basura,11,CARABANCHEL,230.256,Mueble,96,Envase,25.816,Papel_y_Carton,499.4,Bolsas_caninas
AGOSTO,Basura,12,USERA,143.91,Mueble,60,Envase,16.135,Papel_y_Carton,296,Bolsas_caninas
AGOSTO,Basura,17,VILLAVERDE,201.474,Mueble,84,Envase,22.589,Papel_y_Carton,307,Bolsas_caninas
SEPTIEMBRE,Basura,1,CENTRO ,40.61,Mueble,2.25,Envase,17.12,Papel_y_Carton,906.43,Bolsas_caninas
SEPTIEMBRE,Basura,6,TETUÁN,127.04,Mueble,180,Envase,9,Papel_y_Carton,514.7,Bolsas_caninas
SEPTIEMBRE,Basura,7,CHAMBERÍ,71.68,Mueble,260,Envase,17.58,Papel_y_Carton,408.77,Bolsas_caninas
SEPTIEMBRE,Basura,2,ARGANZUELA,66.64,Mueble,0,Envase,4.48,Papel_y_Carton,423.78,Bolsas_caninas
SEPTIEMBRE,Basura,3,RETIRO,62.94,Mueble,840,Envase,32.34,Papel_y_Carton,381.36,Bolsas_caninas
SEPTIEMBRE,Basura,4,SALAMANCA,39.8,Mueble,10.06,Envase,4.82,Papel_y_Carton,411.94,Bolsas_caninas
SEPTIEMBRE,Basura,5,CHAMARTÍN,39.44,Mueble,0,Envase,11.34,Papel_y_Carton,451.9,Bolsas_caninas
SEPTIEMBRE,Basura,8,FUENCARRAL,175.28,Mueble,340,Envase,26.9,Papel_y_Carton,484.82,Bolsas_caninas
SEPTIEMBRE,Basura,9,MONCLOA,91.02,Mueble,0,Envase,17.88,Papel_y_Carton,301.64,Bolsas_caninas
